filename,sanskritname,image,botanicalname,familyname,tamilname,malayalamname,hindiname,englishname,description,usefulpart,benefit,action,rasa,guna,virya,vipaka,karma,shortdesc
Durva,Durva,Durva.jpeg,Cynodon dactylon,Poaceae,அருகம்புல்,"Karuka pullu, Belikaraka.",Doorva,Conch Grass.,"Cynodon dactylon, or Bermuda grass, is a perennial, mat-forming grass characterized by its creeping rhizomes and stolons, rough-edged, linear leaves, and distinctive star-like inflorescence of 3-7 slender spikes. The grass produces erect or ascending stems and is known for forming dense turf and is used for lawns, fodder, and in some religious rituals.",Panchanga(whole plant),"1. Coolant in nature pacifies thirst.
2. Reduces burning sensation. 
3. Relieves disease related to skin. 
4. Also acts as a anti-pyretic.","Antiviral, homeostatic, diuretic and astringent.","Tikta, Madura, kasaya.",Laghu,Sita,Madura,Kapha pitta samaka.," to treat a variety of ailments including cough, headaches, digestive issues, and skin conditions, and also has potential applications in wound healing, diabetes management, and antioxidant support"
Bruhati,Bruhati ,bruhati.jpeg,Solanum indicum Linn,Solanaceae ,"ஆனைச்சுண்டை, பாப்பரமல்லி, சிறு வாழுதலை,புதிரிச்சுண்டை",Cheruchunda,Banabhanta,Indian night shade ,"Habitat:
It grows wild throughout India, especially in tropical and subtropical regions.
Commonly found in roadsides, wastelands, hedges, gardens, and open forests.Prefers sunny locations with well-drained sandy to loamy soil.Found up to an altitude of around 1500 meters in the Himalayan region.Distributed across India, Sri Lanka, Nepal, Bangladesh, and other South Asian countries. 

Habit: A large, much-branched, perennial erect undershrub (0.5–1.5 m tall).

Stem: Cylindrical, hairy, and often armed with prickles.

Leaves: 5–10 cm long, ovate or elliptic, with lobes and prickles on veins; surface hairy.

Flowers: Purple or bluish, borne in clusters (corymbose cymes).

Fruits: Small, globose berries, green when unripe, turning yellow when ripe, about 1–1.5 cm in diameter.

Seeds: Numerous, yellowish, flat, and kidney-shaped.
","Mula,phala,patra","1 Grahani (Sprue)

जयेत् संग्रहणी तद्वत् तक्रेण बृहतीभवः १ (शा.सं._2/5/28)

Butter milk processed with Brahati (Solanum indicum) Mula (Root) will be benefi-cial in Grahani (Sprue).

2. Indralupta (Alopecia areata)

इन्द्रलुप्तापहो लेपो मधुना बृहतीरसः । (शा.सं. 3/11/218)
Fruit juice of Brahati (Solanum indicum) mixed with honey applied externally on scalp in case of Indralupta (Alopecia).

3. Balaroga (Diseases of Children)

पीतंपीतं वमति यः स्तन्य तं मधु सर्पिषा । द्विवार्ताकीफलरसं पञ्चकोलञ्च लेहयेत् ॥

(अ.हृ.उ. 2/58)

Fruit juice of Brahati (Solanum indicum) & Kantakari (Solanum xanthocarpum) mixed with honey, ghee and Panchakola (Pippali, Pippalimula, Chavya, Chitraka & seshunihi) and given to the child who vomit the breast milk.

4. Krimi karna (Maggots in ear)

वार्ताकुधूमश्च हितः सार्षपस्नेह राव च । (सु.उ. 21/52)

Dhuma (Fumigation) of Vartaki (Solanum indicum) is very beneficial in case of Krimi karna (Maggots in ears) as like that of sarshapa oil.

Related to modern:-

1. Respiratory System:
Relieves cough (Kāsa) and asthma (Śvāsa)

Works as an expectorant – helps in expelling phlegm

Reduces breathlessness and congestion

2.Fever & Infections:
Acts as antipyretic – useful in fever (Jvara)

Helps in common cold, flu, and throat infections

Has antimicrobial action against bacteria and fungi

3. Digestive System:
Relieves colicky pain and abdominal distension

Improves appetite and digestion (Dīpana-Pācana)

Useful in intestinal worms and indigestion.

4.Urinary System:
Acts as a diuretic (Mutrala) – reduces water retention and swelling

Helpful in urinary tract infections and dysuria

5.Inflammation & Pain:
Reduces swelling and inflammation (Śothahara)

Acts as an analgesic – relieves pain in arthritis, muscle pain

6. Liver & Stomach:
Shows hepatoprotective effect – protects liver from damage

Anti-ulcer property – helps in gastritis and peptic ulcers in ear) as like that of Sarshapa sneha (Oil of mustard)","1. Anti-inflammatory – Reduces inflammation (Śothahara), useful in bronchitis, arthritis, and inflammatory conditions.
2. Analgesic – Relieves pain (Vedanasthāpana), helpful in colic, headache, and muscular pain.
3. Antiasthmatic & Bronchodilator – Relieves bronchospasm, improves airflow; classically indicated in Śvāsa–Kāsa.
4. Expectorant (Mucolytic) – Helps expel mucus from respiratory tract.
5. Antipyretic – Reduces fever (Jvaraghna).
6. Antimicrobial – Active against bacteria and fungi, helpful in skin diseases and infections.
7. Diuretic – Increases urine output, reducing edema (Mutrala).
8. Antioxidant – Neutralizes free radicals, protective against tissue damage.
9. Hepatoprotective – Some studies show liver-protective effect.
10. Antiulcer – Reduces gastric irritation and ulcer formation.

CLASSICAL REFERENCE:-
बृहती ग्राहिणी हृद्या पाचनी कफवातहत् । कटुतिक्ताऽऽस्यवैरस्यमलारोचकनाशिनी । उष्णा कुष्ठज्वरश्वासशूलकासग्निमान्द्यजित् । (भा.प्र. गुडूच्यादि वर्ग. 36-37)","Katu,tikta","Laghu,ruksha,tikshna",Ushna,Katu,Kaphavata shamaka,"liver disorders, inflammation, skin ailments, gastrointestinal problems like ulcers and diarrhea, fevers, and respiratory issues like cough and asthma."
Kashmari,Kashmari,gambhari-candahar-tree-gmelina-arborea.jpg,Gmelina arboreal Linn,Verbinaceae,கம்பரிக்கு,Kumbil,Gambhara,White teak,"A large deciduous tree,20 m high ,leaves - large , tomentose under Neath ,cordate -ovate ,acuminate.Flowers - yellow ,tinged with brown,in terminal and axillary racemiform panicles,composed of lateral cymes.Fruits -drupes,yellow when ripe.seeds - oblong .Flowering in February - April and fruiting in April - July .","Root bark,fruit ,flower ,leaves ","1.shothahara 
2. Depana 
3.pachana 
","1.stomachic 
2.Refrigerant 
3.Demulcent 
4.Laxative ","Tikta ,kashaya ,madhura ","Laghu , Ruksha ",Usna ,Katu,Tridosha shamaka,"ulcers, diarrhea, fever, anemia, piles, and neurological disorders"
Bhargi,Bhargi,Screenshot_20250831_203913.jpg,Clerodendrum indicum ,Verbinaceae,சிறு தேக்கு,Kankabharani,Babhanaiti,Blue glory,"A shrub , 1.5 - 3 m high ,glabrous ,hollow branches .leaves 3-4 or opposite,lanceolate ,Flowers - elongated terminal panicles ,bracts linear ,calyx campanulate,corolla white , glabrous.Fruits - drupes ,blue .seeds - oblong",Root ,"1.Given orally to treat inguinal hernia 
2.To treat thyroid related problems like goitre 
3.To treat respiratory related problems ","1.Anti inflammatory 
2.Anti allergic 
3.Anti asthmatic 
4.Anti oxidant ","Katu ,tikta ,kashaya","Ruksha , Lagu",Ushna,Katu,Kapha vata shamaka ," It is employed for its anti-inflammatory, stomachic, and febrifuge (fever-reducing) properties. Common uses include treating respiratory conditions like asthma and cough, skin issues, and lymphatic disorders. The plant also acts as a vermifuge, a bitter tonic, and a blood purifier, and is traditionally used to alleviate joint pain and digestive problems.  "
Narayani,Narayani,Screenshot_20250831_212022.jpg,Eleutherine bulbosa,Iridaceae,விஷநாராயணி,"Neerottikizhangu, Ponnulli, and Vishanarayani",Visha narayani ,Dayak onion ,"Perennial herb with red colour onion like buds,
Lance shaped hairless leaves ,white / yellow flowers that bloom with a short night window ",Underground bulb,"1.Used to treat diabetes and hypertension 
2.Used to treat wooping cough ,jaundice ","1.Anti inflammatory 
2.Anti bacterial
3.Anti fungal 
4.Anti oxidant 
","Tikta , kashaya ","Laghu,Ruksha ,Tikshna ",Ushna ,Katu,"Vata kaphahara , pitta vardhaka ","anti-cancer, anti-diabetic, anti-inflammatory, antibacterial, and antioxidant properties"
Mallika,Mallika,garden-sanna-marale.jpg,Jasminum sambac,Oleaceae ,மல்லிகை,Malli,Mallika,Jasmine ,"A woody twining shrub with opposite leaves and fragrant white flower,Leaves -simple ,ovate
elliptic ,shiny green.Flowers -white ,highly fragrant,tubular with 5 - 8 lobs bloom mostly at night or early morning.Fruit - small black berry (Rarely seen in cultivated plants ) Flowering season - Through out the year ,more during summer and monsoon ","Flowers , root ,leaves ","1.Helps to cure bleeding disorder 
2.Improves the skin complexion 
3.Reduces inflammation and swelling ","1.Anti oxidant 
2.Anti depressant 
3.Anti inflammatory 
4.Anti pyretic ","Tikta, kashaya ","Laghu , Ruksha ",Sheeta,Katu,Tridoshahara ,"used in traditional medicine for its analgesic, anti-inflammatory, and sedative properties, treating conditions like fever, pain, and skin ulcers"
Paashaanabheda,Paashaanabheda ,Screenshot_20250831_225411.jpg,Aerva lanata,Amaranthaceae,சிறுபீளை,Cherula,Gorakhbuti,Moutain knot grass ,"Habit :creeping or climbing annual herb , leaves : small, ovate to heart shaped , slightly hairy ,2- 5 cm long , stem : Thin , trailing or climbing with tendrils Flowers : small ,yellowish -Green , unisexual ,appearing along leaf axils.Fruits : small,globose berries ,green when immature and black when ripe .roots : Fibrous ,shallow ","Leaves , whole plant , fruits ","1.Helps to treat skin disorders 
2.Helps to treat urinary disorders","1.Anti inflammatory 
2.Anti microbial 
3.Anti oxidant 
4.Diuretic ","Tikta , kashaya ","Laghu , Ruksha ",Sheeta ,Katu ,Tridoshahara ,"used for its diuretic, anti-inflammatory, and antidiarrheal properties"
Apamarga,Apamarga,apamarga.jpg,Achyranthes aspera,Amarantheaceae ,நாயுருவி ,Katalati ,Chirachiri ,Prickly chaff flower,"The plant grows abudantly in waste places of tropical and temperate regions.
HABIT : Wild perennial herb grows 30 - 90 cm in height.
ROOT : Branched tap root
STEM : Aerial erect, angular,branched,hairy,nodes and internodes are prominent on stem and is violet or pink at nodes.
LEAF : Petiolate, opposite, simple,hairy,obovate,reticulate venation.
INFLORESCENCE : A spike with reflexed flowers arranged on long peduncle.
FLOWER : Bracteate , bracteolate,small,green and spinescent.
SEED : Endospermic.",Whole plant (Panchangha),"Arshas
Raktaarshas
Visuchika
Nadivrana
Atyagni
Shastrakshata","Agnidipaka
Saraka
Pachaka 
Vamaka
Chedana","Tikta,Katu","Sara,Tikshna",Ushna,Katu,Kaphavatahara ,"for conditions such as hemorrhoids, indigestion, cough, asthma, jaundice, earache, and skin disorders"
Haridra,Haridra,Haridra.jpg,Curcuma longa Linn,Zingiberaceae, மஞ்சள்,Kooneit,Haldi,Turmeric ,"HABITAT:

Native to South Asia, mainly India.

Widely cultivated throughout tropical and subtropical regions.

Grows best in warm, humid climate with annual rainfall of 1500–2000 mm.

Requires fertile, well-drained, loamy or alluvial soil.

MORPHOLOGY:

Type: Perennial herb, up to 1 m in height.

Stem: Rhizomatous, underground, cylindrical, branched, yellow to orange inside, aromatic.

Leaves:

Large, oblong-lanceolate, simple, 30–60 cm long.

Long petiole forming a false stem (pseudostem).


Inflorescence: Spike, 10–20 cm long, arising from the rhizome.

Flowers: Pale yellow, bisexual, zygomorphic, enclosed by green bracts tipped with pink/purple.

Fruit: Rarely formed in cultivation.

Rhizome: Main medicinal part; externally brownish, internally deep yellow to orange, aromatic, with bitter-pungent taste.",Kanda,"Amayika Prayoga (Therapeutic administration)

1. Prameha (Diabetes)

क्षौद्रेण युक्तमथवा हरिद्रां पिबेद् रसेनामलकीफलानाम् । (च.चि. 6/26)

Powder of Haridra (Curcuma longa) is taken with honey or Haridra (Curcuma longa) and Amalaki (Phyllanthes emblica) mixed in equal quantity and administered will be beneficial in Prameha (Diabetes).

2. Dadru Kushtha (Ring worm infestation)

रजनीं गुडसंयुक्तां गोमूत्रेण पिबेन्नरः । वर्षोत्थं श्र्लीपदं हन्ति दद्वकुष्ठं विशेषतः ॥

(भा.प्र.चि. 45/14)
Rajani (Curcuma longa) powder is taken with Cow's urine and Jaggery cures Dadrukushtha (Ring worm infestation) and even Shlipada (Filariasis).

3. Vatarakta (Gout)

हरिद्रामृतक क्वार्थ मधुना मधुरीकृतम् । पिबेद् वा त्रिफलाक्वाथं वातरक्ते कफाधिके ॥

(भा.प्र.वि. 29/79)

Kwatha of Haridra (Curcuma longa) and Amṛta (Tinospora cordifolia) is taken with honey in case of Kapha dominant Vatarakta.

4. Kaphaja Trishna (Thirst due to Kapha dosha) जलं पिबेद् रजन्या वा सिद्धं सक्षौद्रशर्करम् । (अ.सं.चि. 14/5)

In case of Kaphaja trishna (Thirst) one has to take water processed with Rajani (Curcuma longa) mixed with honey and sugar.

5. Panduroga (Anaemia)

लिहेद् हरिद्रां त्रिफलान्वितां वा। सर्पिर्मधुभ्याम् । (सु.उ.44/17)

Haridra (Curcuma longa) Churna (Powder) is mixed with Triphala (Amalaki, Haritaki & Vibhitaki) added with ghee and honey cures Panduroga (Anaemia).

Modern Benefits of Haridrā (Turmeric)

1. Boosts immunity – strengthens body’s natural defense against infections.

2. Promotes healthy skin – used in acne, pigmentation, anti-ageing creams.

3. Aids digestion – relieves bloating, indigestion, and improves gut health.

4. Supports liver health – detoxifies and protects liver from toxins.

5. Controls blood sugar – helpful in prevention and management of diabetes.

6. Heart health – reduces cholesterol, prevents clot formation, supports circulation.

7. Joint health – reduces pain, stiffness, and inflammation in arthritis.

8. Wound healing – quickens recovery, reduces scarring.

9. Brain health – may improve memory, helpful in age-related decline.

10. Cancer prevention support – ongoing research shows protective role against some cancers.","हरिद्रा कटुका तिक्ता रूक्षोष्णा कफपित्तनुत् । वर्ष्या त्वग्ोषमेहास्त्र शोथपाण्डूव्रणापहा ॥

(भा.प्र. हरीतक्यादि वर्ग 197)

Modern Aspect of Haridrā

 Active principle: Curcumin (diferuloylmethane), volatile oils (turmerone, atlantone, zingiberene), proteins, sugars.

Pharmacological Actions

1. Anti-inflammatory – inhibits prostaglandins, leukotrienes; useful in arthritis, swelling.
2. Antioxidant – scavenges free radicals, prevents cellular damage, slows ageing.
3. Antimicrobial – antibacterial, antifungal, antiviral, antiparasitic.
4. Hepatoprotective – protects liver cells, enhances bile secretion.
5. Hypoglycemic – helps regulate blood sugar in diabetes.
6. Hypolipidemic – lowers cholesterol and triglycerides, prevents atherosclerosis.
7. Cardioprotective – improves circulation, prevents platelet aggregation.
8. Wound healing – enhances collagen deposition, tissue regeneration.
9. Anti-cancer potential – studied for its role in apoptosis and inhibiting tumor growth.
10. Neuroprotective – supports memory, studied in Alzheimer’s disease.","Tikta,katu","Ruksha,laghu",Ushna,Katu,Kaphapitta shamaka,"anti-cancer, anti-bacterial, anti-viral, hepatoprotective, and cardioprotective effects. It is used to treat conditions like coughs, colds, skin problems, and digestive disorders,"
Pippali,Pippali ,pippali.jpg,Piper longum Linn,Piperaceae,திப்பிலி,Tippli,Pipli,Long pepper,"HABITAT:

Grows in tropical and subtropical regions of India.

Widely found in Bihar, Assam, West Bengal, Kerala, Andhra Pradesh.

Requires warm, humid climate, fertile loamy soil, and partial shade.

Also cultivated/available in Sri Lanka, Malaysia, Indonesia.

MORPHOLOGY:

TYPE: Perennial, climbing, glabrous shrub.
Stem: Slender, woody at base, climbs with adventitious roots.
LEAVES: Alternate, ovate, 5–9 cm long, heart-shaped base, pointed apex, dark green.
INFLORESCENCE: Spikes; male and female flowers separate (catkin-like).
FRUITS: Small, ovoid, green when unripe, blackish after drying (medicinal part).
ROOTS: Thick, aromatic, used as Pippalīmūla.",Phala and mula,"Amayika Prayoga (Therapeutic administration)

1. Shula (Colic)

पिप्पली मृङ्गवेरच अलेप्पशूले भिषग्जितम्। (सु.३. 42/110)

Combination of Pippali (Piper longum) and Shrangavera (Zingiber officinale) is the best remedy for Udara Shula (Colic) caused by Kapha.

2. Chardi (Vomiting)

सर्पिः क्षौद्रसितोपेतां मागधी या लिहेत्तथा ॥ (सु.न. 49/32)

Pippali (Piper longum) consumed with ghee, honey and sugar is very useful in

vomiting.

3. Kasa (Cough)

कण्टकार्याः कणायाच चूर्ण समधुकासडत्। (प.प्र.वि. 12/34)

Powder of Pippali (Pipper longum) and Kantakari (Solanum xanthocarpum) if taken with honey alleviates Kasa (Cough).

4. Jwara (Fever)

चतुर्गुर्णनाम्भसा वा पिप्पल्या वा मृतं पिवेत् । (अ.सं.चि. 2/41)

Decoction prepared by Pippali (Piper longum) with four times water if taken alleviates Jwara (Fever)

Pippali mula (Root)

1. Krimi Roga (Worm infestation)

पिबेद् वा पिप्पलीमूलमजामूत्रेण संयुतम् । (सु.उ. 54/32)

Decoction prepared by Pippali mula (Root of Piper longum) should be taken with Goat's urine. This is effective in Krimi roga (Worm infestation).","
पिप्पली दीपनी वृष्या स्वादुपाका रसायनी । अनुष्णा कटुका स्निग्धा वातश्लेष्महरी लघुः ॥ पिप्पली रेचनी हन्ति श्वासकासोदरज्वरान् । कुष्ठप्रमेह गुल्मार्शः प्लीहशूलामामारूतान् ॥ आर्द्रा कफप्रदा स्निग्धा शीतला मधुरा गुरुः । पित्तप्रशमनी सा तु शुष्का पित्तप्रकोपिणी ।। पिप्पली मधुसंयुक्ता मेदः कफविनाशिनी । श्वासकासज्वरहरी वृष्या मेध्याऽग्निवन्द्धिनी ॥ जीर्णज्वरेऽग्निमान्धे च शस्यते गुडपिप्पली । कासाजीर्णरुचिश्वासहृत्पाण्डुकृमिरोगनुत् ॥ द्विगुणः पिप्पलीचूर्णाद् गुडोऽत्र भिषजां मतः ।। (भा.प्र. हरीतक्यादि वर्ग 54-58)

पिप्पली मूल-

दीपनं पिप्लीमूलं कटूष्णं पाचनं लघु । रूक्षपित्तकरं भेदि कफवातोदरापहम् । आनाहप्लीहगुल्मघ्नं कृमिश्वासक्षयापहम् ॥ (भा.प्र. हरीतक्यादि वर्ग 64-65)

PHARMACOLOGICAL ACTION:

Respiratory health – relieves cough, bronchitis, asthma.

Digestive support – enhances metabolism, reduces indigestion, bloating, anorexia.

Liver stimulant – improves bile secretion, protects liver.

Immunity booster – strengthens resistance against infections.

Anti-inflammatory & analgesic – reduces pain and inflammation.

Antimicrobial – active against bacteria, fungi, parasites.

Cardioprotective – supports circulation, helps in reducing cholesterol.

Anti-obesity potential – studied for fat metabolism improvement.",Katu ,"Tikshna,laghu,snigdha",Anushna,Madhura,KAPHAVATA SHAMAKA ,"conditions such as respiratory infections, digestive issues, asthma, and pain,"
Shatavari,Shatavari,shatavari.jpg,Asparagus racemosus,Asparagaceae,தண்ணீர்விட்டான்கிழங்கு,Shatavali,Shakakul,Wild asparagus,"HABITAT:

Commonly found throughout India, Sri Lanka, Nepal, and Himalayas up to 1200–1500 m altitude.

Prefers tropical and subtropical climates.

Grows in sandy-loamy, well-drained soil with moderate rainfall.

Cultivated in Madhya Pradesh, Uttar Pradesh, Maharashtra, Karnataka, Kerala.

MORPHOLOGY:

TYPE: Climbing, spiny under-shrub.
Stem: Woody, climbing with hooked spines, much-branched.
LEAVES: Actually cladodes (modified branches), needle-like, arranged in clusters, green, 0.5–1 cm long.
ROOTS: Fascicled, tuberous, succulent, tapering, numerous — main medicinal part.
FLOWERS: Small, white, fragrant, in racemes.
FRUIT: Small, globose, purplish-black berry, containing 1–2 seeds.",Mula,"Amayika Prayoga (Therapeutic administration)

1. Stanya vardhanartha (Galactogogue)

शतावरी क्षीरपिष्टा पीता स्तन्यविवर्धनी । (यो.र.प्र. 427)

Paste of Shatavari (Asparagus racemosus) prepared by triturating with milk, it has to be taken with one glass of milk which acts as Stanyavardhaka (Galactogogue).

2. Rasayana (Rejuvenative) शतावरी घृतम् । (अ.हृ.उ. 39/157)

Ghee prepared from paste and decoction of Shatavari (Asparagus racemosus) taken with sugar acts as best Rasayana (Rejuvenative).

3. Swarabheda (Hoarseness of voice)

लिद्द्यात् मधुरकाणां वा चूर्णं मधुघृताप्लुतम् । शतावरी चूर्णयोगं बलाचूर्णमथापि वा ॥(सु.उ. 53/4)

Powder of Shatavari (Asparagus racemosus) if taken with honey and ghee is very useful in Swarabheda (Hoarseness of voice).","Properties and Actions

शतावरी गुरुःशीता तिक्ता स्वाद्वी रसायनी । मेधाऽग्निपुष्टिदा स्निग्धा, नेत्र्या गुल्मातिसारजित् ।

शुक्रस्तन्यकरीबल्या वातपित्तास्त्रशोथजित् ॥ (भा.प्र. गूडूच्यादि वर्ग 186-187)

Mahashatavari-

महाशतावरी मेध्या हृद्या वृष्या रसायनी । शीतवीर्या निहन्त्यर्शोंग्रहणीनयनामयान् । तद‌ङ्कुरस्त्रिदोषघ्नी लघुरर्शः क्षयापहा ॥ (भा.प्र. गूडूच्यादि वर्ग 187-188)

Acc to modern:

1. Galactagogue – enhances breast milk secretion (supports lactating mothers).
2. Adaptogenic & Immunomodulatory – improves stress tolerance, boosts immunity.
3. Anti-ulcer & Gastroprotective – protects gastric mucosa, reduces acidity.
4. Anti-inflammatory – reduces inflammation and swelling.
5. Antioxidant – scavenges free radicals, delays ageing.
6. Reproductive health promoter – aphrodisiac, improves fertility in both males & females.
7. Neuroprotective – enhances memory, reduces stress and anxiety.
8. Anti-diabetic – helps lower blood sugar and improves insulin sensitivity.
9. Antimicrobial – effective against bacteria and fungi.
10. Diuretic – promotes urine flow, useful in urinary disorders.
11. Hepatoprotective – protects and supports liver functions.
12. Anticancer potential – studied for its cytotoxic and tumor-suppressing effects.","Madhura,tikta","Guru, snigdha ",Shita,Madhura ,Vatapitta shamaka,"support the female reproductive system, boost immunity, and improve digestion. It may help with symptoms of menopause, increase breast milk production, treat diarrhea and stomach ulcers, and act as a diuretic."
Shunti,Shunti,sunthi.jpg,Zingiber officinale,Zingiberaceae ,இஞ்சி,Chukka,"Adarakh,sonth",Ginger ,"HABITAT:

Cultivated throughout India, China, Sri Lanka, Nigeria, Jamaica.

Major producing states in India: Kerala, Karnataka, Andhra Pradesh, West Bengal, Orissa.

Requires warm, humid climate, well-drained loamy soil.

Not generally found wild; mostly cultivated crops

MORPHOLOGY:

TYPE: Perennial herb, cultivated for its underground rhizome.

RHIZOME: Thick, horizontal, branched, externally brown, internally yellowish, aromatic, pungent (used as drug).

STEM: Pseudo-stem formed by leaf sheaths, up to 60–90 cm tall.

LEAVES: Linear-lanceolate, alternate, sheathing base, 15–20 cm long.

FLOWERS: Small, yellow-green with purple lip, arranged in spikes with green bracts.

FRUIT: Rare, capsule type, not of medicinal use.",Kanda,"Amayika Prayoga (Therapeutic administration)

1. Agnimandya (Loss of appetite)

समशुक्ताईकमात्रा मन्देवहू‌नौ । (अ.8.3. 40/55)

भोजनाचे सदापच्यं लवणाड्रंक भक्षणम्। अग्रिसन्दीपनं हां जिव्हाकण्ठ विशोधनम् ॥

(भा.प्र.हरीतक्यादि वर्ग, 51)

Consuming a piece of fresh ginger with a pinch of salt before having food is very useful in increasing depleted digestive power.

2. Aruchi (Anorexia)

अरुचौ तु श्रङ्गवेरजरसकैः सोष्णैः ससिन्धुजैः कवलः । (भा.प्र.चि. 1/851)

Keeping Luke warm ginger juice and rock salt in mouth is beneficial in Aruchi.

3. Arshas (Haemorrhoids)

कफजेषु अङ्गबेर कुलत्योपयोगः । (सु.चि. 6/16)

Kwatha of Ginger and Kulattha (Dolichos biflorus) is beneficial in Kaphaja Arshas.

4. Shitapitta (Urticaria)

आर्द्रकस्य रसः पेयः पुराणगुडसंयुतः । शीतपित्तापहः श्रेष्ठो वन्हिमान्डा विनाशनः ॥(भा.प्र.चि. 55/11)

Consuming Ardraka (Zingiber officinale) swarasa with old Jaggery is useful in Shitapitta (Urticaria) and Agnimandya (loss of appetite).","Properties

आर्द्रिका भेदिनी गुर्वी तीक्ष्णोष्णा दीपनी मता । कटुका मधुरापाके रुक्षा वातकफापहा ।
ये गुणाः कथिताः शुण्ठ्यास्तेऽपि सन्त्याईकेऽखिलाः ॥
भोजनाग्रे सदा पथ्यं लवणार्दृक भक्षणम् । अग्निसन्दीपनं रुच्यं जिह्वा कण्ठ विशोधनम् ॥
(भा.प्र.हरीतक्यादि वर्ग. 49-51)

Acc to modern:

1. Digestive stimulant (Carminative) – improves appetite, relieves indigestion, bloating, flatulence.
2. Anti-emetic – prevents nausea and vomiting (motion sickness, pregnancy-related).
3. Anti-inflammatory & Analgesic – reduces pain, swelling (arthritis, musculoskeletal pain).
4. Antioxidant – protects against oxidative stress and cellular ageing.
5. Hypolipidemic & Cardioprotective – reduces cholesterol, prevents clot formation, supports circulation.
6. Antimicrobial – antibacterial, antifungal, antiviral properties.
7. Antitussive & Expectorant – relieves cough, cold, asthma, and sore throat.
8. Thermogenic – produces warmth, useful in cold conditions.
9. Hepatoprotective – protects liver and improves metabolism.
10. Anti-diabetic – helps regulate blood glucose.
11. Neuroprotective – improves memory, reduces stress and fatigue.",Katu,"Laghu, snigdha ",Ushna,Madhura,Vatakaphahara,"alleviate nausea, vomiting, and indigestion, and to reduce inflammation associated with conditions like arthritis"
Karpura,Karpura,"61RFrxoaFZL._UF1000,1000_QL80.jpg",Cinnamomum camphora,Lauraceae,கற்பூரம்,karppūram,Kapur,Camphor,"Camphor is colourless, crystalline solid granular mass known as flower of camphor. It has penetrating characteristic odour and aromatic pungent taste followed by sensation of cold. It is translucent and readily pulverisable in presence of alcohol or chloroform. Camphor gets readily liquified if triturated with phenol, methol, thymol, chloral hydrate and resorcinol. It slowly vaporises at room temperature. It burns with a bright smoky flame. Natural camphor is dextrorotatory where as synthetic camphor is racemic.",Niryasa (Resinous exudate),"1.Retention of Urine 
2.Fresh wound by injury
3. Asthma","Analgesic, Sedative, Cardiac stimulant, Vermicidal, Expectorant, Antiseptic, Aph rodisiac.","Tikta ,katu , Madhura","Laghu,Tiksna",Sita,Katu,Pitta Samaka and kapha Samaka,"symptoms such as inflammation, ingestion, infection, congestion, pain, irritation"
Vamsha,Vamsha,roadside-grass.jpg,Bambusa Arundinacea,Graminae,மூங்கில் ,Mungil,Bans,Bamboo,"Vamsa"" or ""Vamsha"" is a Sanskrit term with ancient roots that refers to bamboo (specifically, the plant Bambusa bambos) or a reed. It can also refer to the siliceous secretion found within bamboo, known as Vamsha Lochana or tabasheer, which is used in Ayurvedic medicine for respiratory and other ailments. The word's meaning extended to signify ""lineage"" or ""family tree,"" likely inspired by the segmented, growing structure of bamboo stalks. ","Root, Dried resin, Tender shoot","treatment of cough, skin diseases, wounds, digestive disorders, nausea, gynecological disorders and fever. ","anti-inflammatory, astringent, laxative, diuretic, anti-ulcer, anti-arthritic, anti-obesity, and an abortifacient","Madhura , Kashaya","Laghu ,Ruksha , Tikshna",Shita,Madhura,Kaphapitta shamaka,"treat a range of ailments, including wounds, inflammation, digestive issues, cough, and gynecological complaints."
Sariva,Sariva,"61rtaJejgUL._UF1000,1000_QL80.jpg",Hemidesmus indicus,Asclepiadaceae,நன்னாரி,Naruninti,Anantamul,Indian Sarsaparilla,"Hemidesmus indicus is a slender, twining, sometimes prostrate or semi-erect climber. Roots are woody and aromatic. The stem is numerous, slender, terete, thickened at the nodes. The leaves are opposite, short-petioled, very variable, elliptic-oblong to linear-lanceolate. The flowers are greenish outside, purplish inside, crowded in sub-sessile axillary cymes.",Root,"1 .Oligospermia
2.gastritis
3.anorexia
4.menorrhagia 

","anti-inflammatory, antioxidant, antimicrobial, antidiarrheal, and hepatoprotective effects, as well as potential anti-cancer, anti-diabetic, anti-arthritic, and cardioprotective properties. ","Madhura , Tikta","Guru , Snigdha",Sita,Madhura,Tridoshahara,"conditions including skin diseases and fever. It is also used for urinary diseases, respiratory issues like asthma and bronchitis, and to relieve chronic rheumatism. Scientific studies support its potential in treating cancers, diabetes, ulcers, diarrhea, and liver and heart conditions. "
